Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Sales,Quantity,Discount,Profit
CA-2014-100293,3/14/2014,3/18/2014,Standard Class,NF-18475,Home Office,United States,Jacksonville,Florida,32216,South,91.056,6,0.2,31.8696
CA-2014-100328,1/28/2014,2/3/2014,Standard Class,JC-15340,Consumer,United States,New York City,New York,10024,East,3.928,1,0.2,1.3257
CA-2014-100391,5/25/2014,5/29/2014,Standard Class,BW-11065,Consumer,United States,New York City,New York,10035,East,14.62,2,0.0,6.7252
CA-2014-100678,4/18/2014,4/22/2014,Standard Class,KM-16720,Consumer,United States,Houston,Texas,77095,Central,697.074,11,0.225,61.7937
CA-2014-100706,12/16/2014,12/18/2014,Second Class,LE-16810,Consumer,United States,Springfield,Virginia,22153,South,129.44,8,0.0,17.7202
CA-2014-100762,11/24/2014,11/29/2014,Standard Class,NG-18355,Corporate,United States,Jackson,Michigan,49201,Central,508.62,11,0.0,219.07739999999998
CA-2014-100860,3/26/2014,3/30/2014,Second Class,CS-12505,Consumer,United States,Pomona,California,91767,West,18.75,5,0.0,9.0
CA-2014-100867,10/19/2014,10/24/2014,Standard Class,EH-14125,Home Office,United States,Lakewood,California,90712,West,321.552,6,0.2,20.097
CA-2014-100881,3/28/2014,4/1/2014,Standard Class,DR-12940,Home Office,United States,Albuquerque,New Mexico,87105,West,302.376,3,0.2,22.6782
CA-2014-100895,6/2/2014,6/6/2014,Standard Class,SV-20785,Consumer,United States,Roswell,Georgia,30076,South,605.47,7,0.0,176.92719999999997
CA-2014-100916,10/21/2014,10/26/2014,Standard Class,FH-14275,Corporate,United States,Newport News,Virginia,23602,South,788.8600000000001,10,0.0,122.9662
CA-2014-100972,11/19/2014,11/24/2014,Second Class,DB-13360,Home Office,United States,Salt Lake City,Utah,84106,West,166.44,3,0.0,79.8912
CA-2014-101147,12/2/2014,12/4/2014,First Class,MC-17575,Consumer,United States,Chicago,Illinois,60623,Central,2.394,1,0.8,-6.3441
CA-2014-101266,8/27/2014,8/30/2014,Second Class,MM-17920,Consumer,United States,Springfield,Virginia,22153,South,13.36,2,0.0,6.4128
CA-2014-101364,12/22/2014,12/26/2014,Standard Class,TW-21025,Home Office,United States,New York City,New York,10011,East,296.712,13,0.2,100.1403
CA-2014-101427,12/26/2014,12/30/2014,Standard Class,AY-10555,Corporate,United States,Philadelphia,Pennsylvania,19140,East,8.016,3,0.2,1.1022
CA-2014-101462,4/20/2014,4/25/2014,Standard Class,BP-11230,Consumer,United States,Los Angeles,California,90045,West,59.92,4,0.0,27.5632
CA-2014-101476,9/12/2014,9/13/2014,First Class,SD-20485,Home Office,United States,New Rochelle,New York,10801,East,69.99,1,0.0,30.0957
